ticker,market_group,L_past,L_future,discovered_states,statistical_complexity,runtime_seconds,error
EPOL,emerging,2,2,3,0.0075670788446232234,29.70488566699987,
EPOL,emerging,2,3,7,0.03533246247532491,29.004202000000078,
EPOL,emerging,2,4,8,0.03613076643753163,29.801161250000405,
EPOL,emerging,2,5,2,0.003786496461522925,29.012518500000624,
EPOL,emerging,2,6,8,0.04521400161713107,29.790940916999716,
EPOL,emerging,2,7,7,0.02594296430248741,28.52653220799948,
EPOL,emerging,2,8,4,0.017798360248135216,29.675976833000277,
EPOL,emerging,2,9,3,0.020011649094974594,29.092972708999696,
EPOL,emerging,2,10,5,0.021598130242862706,26.134269084000152,
EPOL,emerging,3,2,6,0.02213270556480998,27.067569333000392,
EPOL,emerging,3,3,8,0.03270306976197082,28.618569458999445,
EPOL,emerging,3,4,5,0.02777936767465466,27.014724874999956,
EPOL,emerging,3,5,6,0.028359776822866757,28.54989579099947,
EPOL,emerging,3,6,3,0.010791377896737822,27.131032708999555,
EPOL,emerging,3,7,3,0.010794117271251808,28.11046287499994,
EPOL,emerging,3,8,3,0.01987098195130978,27.64574566600004,
EPOL,emerging,3,9,3,0.013799854849220946,22.66214658300032,
EPOL,emerging,3,10,4,0.01459429349438915,23.78605879099996,
EPOL,emerging,4,2,3,0.010783168580003378,26.56765308300055,
EPOL,emerging,4,3,3,0.007572874374263213,26.624555500000497,
EPOL,emerging,4,4,4,0.011362034486240694,27.54220341600012,
EPOL,emerging,4,5,3,0.00757674326081334,26.270130790999247,
EPOL,emerging,4,6,3,0.010794117271251492,27.40002441699926,
EPOL,emerging,4,7,3,0.010796858115574655,26.580211541999233,
EPOL,emerging,4,8,3,0.010799600430914392,24.776062124999953,
EPOL,emerging,4,9,3,0.01080234421847813,21.846018791999995,
EPOL,emerging,4,10,4,0.011379472018247051,25.67748245799976,
EPOL,emerging,5,2,3,0.007572874374263215,24.91903162499966,
EPOL,emerging,5,3,3,0.007574808296955398,26.59860691599988,
EPOL,emerging,5,4,3,0.00757674326081334,24.984017374999894,
EPOL,emerging,5,5,3,0.00757867926669357,28.00244987499991,
EPOL,emerging,5,6,3,0.007580616315453906,25.497063792000517,
EPOL,emerging,5,7,3,0.007582554407953625,23.671128124999996,
EPOL,emerging,5,8,3,0.00758449354505187,21.5605185000004,
EPOL,emerging,5,9,3,0.007586433727610031,25.224268291000044,
EPOL,emerging,5,10,3,0.007588374956489688,24.087111249999907,
EPOL,emerging,6,2,2,0.003787463456866613,26.508129832999657,
EPOL,emerging,6,3,2,0.0037884309728220393,24.866398791999927,
EPOL,emerging,6,4,2,0.00378939900981798,26.69228133300021,
EPOL,emerging,6,5,2,0.0037903675682834587,26.75289816700024,
EPOL,emerging,6,6,2,0.0037913366486477494,26.095388458999878,
EPOL,emerging,6,7,2,0.0037923062513411715,22.834042874999795,
EPOL,emerging,6,8,2,0.0037932763767936604,24.506847042000118,
EPOL,emerging,6,9,2,0.0037942470254363563,23.83844783299992,
EPOL,emerging,6,10,2,0.0037952181977003296,25.41219537500001,
EPOL,emerging,7,2,3,0.0075767432608135,23.520418625000275,
EPOL,emerging,7,3,3,0.007578679266693568,26.46971808299986,
EPOL,emerging,7,4,3,0.007580616315453904,24.961505166999814,
EPOL,emerging,7,5,3,0.007582554407953625,25.551207333000093,
EPOL,emerging,7,6,3,0.00758449354505187,23.27791754200007,
EPOL,emerging,7,7,3,0.00758643372761003,25.428786874999787,
EPOL,emerging,7,8,3,0.007588374956489686,23.760180582999965,
EPOL,emerging,7,9,3,0.007590317232553552,24.858823708000273,
EPOL,emerging,7,10,3,0.007592260556664526,23.673204499999883,
EPOL,emerging,8,2,3,0.00757867926669357,25.660985542000162,
EPOL,emerging,8,3,3,0.007580616315453904,25.226264083000387,
EPOL,emerging,8,4,3,0.007582554407953625,25.6944454580007,
EPOL,emerging,8,5,3,0.00758449354505187,24.061342749999312,
EPOL,emerging,8,6,3,0.00758643372761003,25.340552165999725,
EPOL,emerging,8,7,3,0.007588374956489686,24.368977207999706,
EPOL,emerging,8,8,3,0.007590317232553552,25.05579574999956,
EPOL,emerging,8,9,3,0.007592260556664526,22.965462459000264,
EPOL,emerging,8,10,3,0.007594204929688099,25.708604790999743,
EPOL,emerging,9,2,3,0.007580616315453906,24.98897712500002,
EPOL,emerging,9,3,3,0.007582554407953625,25.6635468329996,
EPOL,emerging,9,4,3,0.00758449354505187,23.301284125000166,
EPOL,emerging,9,5,3,0.00758643372761003,25.9386161249995,
EPOL,emerging,9,6,3,0.007588374956489686,24.909412125000017,
EPOL,emerging,9,7,3,0.007590317232553552,25.31135604100018,
EPOL,emerging,9,8,3,0.007592260556664526,22.832152749999295,
EPOL,emerging,9,9,3,0.007594204929688099,25.968822916000136,
EPOL,emerging,9,10,3,0.007596150352489452,24.928725249999843,
EPOL,emerging,10,2,3,0.007582554407953625,25.46671037499982,
EPOL,emerging,10,3,3,0.00758449354505187,24.339086124999994,
EPOL,emerging,10,4,3,0.00758643372761003,24.945928666999862,
EPOL,emerging,10,5,3,0.007588374956489686,23.822486041000047,
EPOL,emerging,10,6,3,0.007590317232553552,24.396932124999694,
EPOL,emerging,10,7,3,0.007592260556664526,23.16066191600021,
EPOL,emerging,10,8,3,0.007594204929688099,19.444048208000822,
EPOL,emerging,10,9,3,0.007596150352489452,18.718169540999952,
EPOL,emerging,10,10,3,0.007598096825935087,14.168033333000494,
EWG,developed,2,2,4,0.020981602655173525,29.663682375000008,
EWG,developed,2,3,4,0.023981615181911994,28.75346295899999,
